Electrode,X,Y,Z,0,2,4,6,8,10,12,14,16,18,20
'E1',6.606999874,6.302000046,-2.941999912,-3291.2493,-3286.394,-3286.3594,-3288.2568,-3285.3113,-3281.4866,-3281.6257,-3286.3643,-3288.0034,-3291.4902,-3291.1028
'E2',6.040999889,7.65899992,0.351000011,-5781.0942,-5785.0557,-5785.6987,-5779.5771,-5778.6035,-5773.5718,-5778.6406,-5784.2334,-5785.1821,-5790.6235,-5789.4492
'E3',4.410999775,8.715000153,3.502000093,-1112.8362,-1111.0009,-1112.0464,-1112.4413,-1114.3088,-1114.6144,-1118.722,-1120.1725,-1120.1849,-1119.636,-1116.9265
'E4',3.275000095,8.156999588,5.696000099,2196.99,2199.178,2198.8552,2200.0374,2199.24,2199.1582,2196.5381,2194.9858,2195.0181,2193.6372,2195.8003
'E5',1.68900001,6.492000103,7.77699995,3846.1785,3850.1943,3851.4958,3849.4121,3849.75,3849.7251,3847.3308,3843.9136,3843.9683,3845.9675,3848.2747
'E6',2.66E-16,4.346000195,9.008000374,1942.0237,1945.4932,1947.4924,1947.4377,1947.8127,1946.6654,1943.4567,1940.027,1940.5286,1941.9392,1943.8044
'E7',-1.396999955,1.779999971,9.635000229,-961.75079,-958.47253,-955.83252,-954.70752,-955.31842,-955.06512,-958.11737,-958.97919,-959.35913,-958.83514,-955.72327
'E8',4.818999767,9.130999565,-1.547000051,-2337.7065,-2338.5437,-2341.9087,-2342.8501,-2336.1047,-2326.6897,-2327.8867,-2332.5732,-2342.2515,-2347.0398,-2340.9277
'E9',3.076999903,10.1420002,1.241999984,-524.51099,-526.41333,-522.06219,-514.44275,-513.26556,-508.05759,-509.2323,-515.28217,-531.73059,-538.33429,-528.67584
'E10',2.089999914,9.942000389,3.638000011,3389.3809,3391.3926,3392.9646,3393.4839,3391.6682,3393.1436,3391.1294,3389.0779,3388.0398,3385.8743,3387.6426
'E11',5.57E-16,9.090000153,5.758999825,4434.792,4437.0645,4438.731,4438.1519,4437.4243,4437.3574,4436.3115,4433.1802,4433.3242,4433.4556,4435.6138
'E12',-1.68900001,6.492000103,7.77699995,243.6936,246.03557,249.15736,248.77986,247.30464,248.33034,247.3419,243.73085,242.34505,244.06364,247.20779
